,Id,Price
0,3,14906.1360349
1,4,14789.1787395
2,6,15339.5043492
3,7,16222.036745
4,8,16442.7675146
5,9,17067.4184825
6,10,13529.0119673
7,12,18936.2625553
8,15,19357.0721402
9,19,16738.3611568
10,25,17938.4965162
11,29,17353.1024085
12,32,15426.2122809
13,35,15318.3303807
14,40,14608.4844076
15,45,16268.6032729
16,46,18367.4521728
17,50,18690.2219778
18,51,17212.6428636
19,61,15536.6971145
20,68,15666.8769631
21,69,20207.5953799
22,72,14560.1546118
23,74,14990.9088706
24,75,17677.2511056
25,80,15593.6011409
26,82,16029.3823956
27,83,15199.6429593
28,90,21007.7195707
29,96,20781.8562034
30,103,17214.2497989
31,108,17218.4178373
32,111,26315.268452
33,113,26531.91884
34,121,20651.2383023
35,122,16419.6500425
36,125,19166.1114056
37,141,19093.8134103
38,145,16962.7187613
39,147,16707.8919114
40,155,17471.3483679
41,157,16932.5810794
42,159,17120.4468995
43,162,19065.8992527
44,172,18834.8695993
45,175,18693.4116333
46,178,18673.770896
47,181,20789.3325334
48,182,19362.1267721
49,183,18871.014141
50,184,18875.1984933
51,187,20158.4462979
52,191,9949.21349714
53,192,10549.2965929
54,194,11649.6939287
55,197,11901.5932476
56,199,13656.0710321
57,201,12441.6130491
58,204,12140.8326895
59,208,12267.5720707
60,210,12363.309719
61,213,14429.1658844
62,218,12607.5017952
63,219,10880.9634225
64,220,10896.7895727
65,221,12717.9696754
66,222,12231.9833675
67,224,12741.7181992
68,232,11108.7037691
69,235,12507.6940165
70,240,13288.2913439
71,241,13404.2534295
72,244,12317.5259292
73,245,13514.4970373
74,246,12790.5231197
75,247,12814.1042694
76,248,12321.2778383
77,252,12583.8504717
78,259,11549.5888868
79,260,11321.6594043
80,262,11571.1709055
81,267,12935.0041545
82,268,13258.3644923
83,271,12659.8931885
84,273,12242.8565665
85,275,12281.3183296
86,282,12673.9280848
87,283,13077.9226994
88,294,12577.4811385
89,299,13407.0112823
90,303,12663.7671323
91,305,12027.6962021
92,307,12085.2176851
93,311,13136.5039631
94,314,11580.5685261
95,315,12832.412752
96,324,13754.0470145
97,326,13212.119858
98,328,11907.9461739
99,331,12767.9030159
100,339,13468.8368674
101,341,12998.4165862
102,342,12577.7349285
103,356,13051.5240343
104,361,13474.6550866
105,363,12154.6341461
106,368,12309.4553685
107,374,13520.8134733
108,376,13851.0437368
109,378,13482.0227193
110,381,8750.43893965
111,394,10234.4068301
112,395,9859.50108299
113,400,11095.3546881
114,402,9777.27043203
115,403,9068.89006629
116,405,10331.1150085
117,406,9489.22595202
118,408,10608.0383771
119,411,10314.0082086
120,412,10722.8380747
121,415,10910.4028287
122,422,9843.17664867
123,424,9532.2001475
124,425,10829.7439493
125,426,10637.8873533
126,427,10160.4615304
127,428,10149.488317
128,432,10744.0920763
129,433,10219.7299688
130,436,10246.175994
131,437,10457.5637262
132,438,10331.5550458
133,440,10840.7595876
134,441,9839.16138963
135,446,11208.6134783
136,448,10683.3917432
137,449,11462.7370656
138,453,11122.8988617
139,459,10350.0775233
140,460,11282.1650928
141,461,11342.0216867
142,462,10208.8939214
143,469,10424.245027
144,470,11517.2506387
145,472,11530.5289832
146,473,10751.53984
147,474,9993.40875402
148,480,10987.4162304
149,482,10996.9379564
150,486,10871.5568665
151,500,11724.2912007
152,502,10131.9945014
153,509,11463.5342492
154,511,10802.7131121
155,516,10221.8557912
156,518,11473.1722297
157,530,10291.5949958
158,531,11093.4028068
159,533,10315.6782678
160,535,11585.3309478
161,543,11522.2241793
162,547,11448.8854518
163,551,10789.7988295
164,552,10955.313328
165,554,11566.2054591
166,560,12380.502797
167,561,11155.3983085
168,566,10486.2324666
169,568,10268.4662514
170,572,11632.996952
171,579,11411.4280099
172,580,11899.6828351
173,582,11907.4504787
174,583,11993.5979655
175,591,11680.5356857
176,595,10999.9630952
177,598,10776.1894227
178,602,10686.1761913
179,605,15189.510627
180,609,5566.01699846
181,613,7575.69564235
182,614,7374.05447659
183,616,8982.81758693
184,622,8663.50823331
185,623,8589.98945921
186,625,8224.84259596
187,633,8407.21853212
188,634,8994.43110842
189,643,8365.93995017
190,645,9250.20999238
191,647,9219.03005765
192,649,8376.47972988
193,654,8410.37446876
194,656,9774.34341829
195,668,9415.67689165
196,670,9178.53247609
197,671,8350.01161802
198,675,8925.3348496
199,677,8269.1071721
200,679,8726.88596439
201,680,9285.46592317
202,683,9509.5713665
203,687,9541.95047069
204,694,8696.81274161
205,697,7975.97213693
206,699,8700.1528436
207,701,9054.92332564
208,704,8536.54533108
209,709,9945.02435492
210,712,9481.6595991
211,714,9122.99056578
212,715,9016.43724899
213,717,9516.07022642
214,722,9407.57954009
215,725,9029.49746923
216,727,8144.20169558
217,730,8782.62048992
218,731,9099.10145286
219,735,8952.008184
220,739,9636.04025548
221,742,8716.02274458
222,744,7872.70993484
223,750,9603.35194437
224,757,9933.21530426
225,762,8396.99118084
226,765,7923.34989595
227,772,11285.8382053
228,776,9769.26408897
229,778,8441.4568977
230,782,8548.35039303
231,785,8779.24480457
232,787,8470.0964644
233,788,8005.00985528
234,789,10211.4424754
235,791,9813.62416611
236,794,9944.17855172
237,798,10342.2390614
238,801,8961.06263407
239,805,10054.7660886
240,807,9768.11734227
241,811,8827.15192499
242,815,9729.78900723
243,818,9165.93634193
244,819,8882.15711339
245,821,9896.34416134
246,827,10302.9997799
247,830,9046.86136425
248,831,9916.28875931
249,834,9515.281937
250,838,8518.50595459
251,844,8995.35274918
252,846,10196.7551092
253,848,9327.09072293
254,861,9865.59967857
255,862,10003.370594
256,868,10492.4809993
257,872,9483.47444038
258,876,9441.4756676
259,877,9669.04764466
260,880,8558.4216616
261,882,8630.51641576
262,886,9798.80879424
263,889,10069.2601945
264,897,8281.82800479
265,899,9846.64353574
266,907,10193.6480198
267,914,9401.84082474
268,915,10127.2460185
269,918,10407.7256168
