Id,Predict_Price
3,"16,246.80"
4,"15,794.00"
6,"15,211.20"
7,"16,516.40"
8,"16,623.80"
9,"19,058.00"
10,"14,164.50"
12,"19,853.90"
15,"19,056.70"
19,"15,638.10"
25,"16,365.70"
29,"15,935.20"
32,"16,347.50"
35,"15,946.50"
40,"15,237.10"
45,"17,163.60"
46,"17,520.30"
50,"18,649.30"
51,"18,085.70"
61,"16,186.20"
68,"16,322.00"
69,"19,643.50"
72,"14,322.40"
74,"15,958.40"
75,"16,418.30"
80,"15,546.30"
82,"16,201.20"
83,"15,941.50"
90,"19,437.50"
96,"19,095.20"
103,"16,661.30"
108,"17,230.70"
111,"25,871.50"
113,"26,034.70"
121,"19,700.30"
122,"17,071.60"
125,"17,429.80"
141,"17,165.50"
145,"17,289.60"
147,"17,033.50"
155,"18,511.80"
157,"17,149.30"
159,"18,362.60"
162,"17,827.40"
172,"17,967.80"
175,"18,456.70"
178,"18,725.20"
181,"19,580.80"
182,"18,163.70"
183,"18,663.10"
184,"19,446.50"
187,"18,906.50"
191,"10,276.80"
192,"10,618.70"
194,"10,618.70"
197,"12,485.10"
199,"14,152.50"
201,"13,470.50"
204,"12,403.10"
208,"12,673.80"
210,"12,662.30"
213,"14,682.70"
218,"13,191.10"
219,"11,384.90"
220,"11,241.70"
221,"13,411.70"
222,"11,960.30"
224,"13,105.70"
232,"11,174.30"
235,"12,900.60"
240,"13,407.30"
241,"12,983.10"
244,"12,434.20"
245,"14,976.60"
246,"14,136.90"
247,"13,553.60"
248,"12,392.80"
252,"14,077.90"
259,"11,683.30"
260,"11,300.30"
262,"11,849.80"
267,"13,797.00"
268,"13,277.40"
271,"12,903.40"
273,"13,437.70"
275,"13,338.30"
282,"13,542.40"
283,"13,813.60"
294,"13,561.90"
299,"13,998.00"
303,"13,126.20"
305,"12,417.50"
307,"12,586.90"
311,"13,537.90"
314,"11,708.90"
315,"13,142.20"
324,"13,790.20"
326,"13,872.60"
328,"12,083.80"
331,"13,239.80"
339,"14,454.20"
341,"12,979.50"
342,"13,413.80"
356,"13,584.20"
361,"13,779.30"
363,"13,282.60"
368,"12,697.30"
374,"14,760.20"
376,"14,491.30"
378,"13,778.20"
381,"8,207.50"
394,"10,304.80"
395,"10,629.70"
400,"12,175.30"
402,"9,958.40"
403,"9,404.50"
405,"9,851.60"
406,"10,320.80"
408,"10,873.00"
411,"10,701.20"
412,"10,806.40"
415,"11,398.90"
422,"9,138.30"
424,"9,599.40"
425,"11,063.60"
426,"10,610.80"
427,"10,811.10"
428,"11,455.80"
432,"11,640.90"
433,"10,859.70"
436,"11,631.20"
437,"10,349.80"
438,"10,968.40"
440,"11,770.70"
441,"10,082.00"
446,"11,505.40"
448,"11,353.90"
449,"11,494.30"
453,"11,440.00"
459,"10,616.50"
460,"11,389.90"
461,"10,913.70"
462,"10,559.10"
469,"11,131.80"
470,"11,508.50"
472,"11,853.20"
473,"11,122.00"
474,"9,824.60"
480,"10,986.90"
482,"10,879.50"
486,"10,618.50"
500,"11,109.10"
502,"10,321.20"
509,"11,048.60"
511,"11,715.70"
516,"10,884.30"
518,"10,930.10"
530,"10,274.20"
531,"11,360.10"
533,"11,099.50"
535,"11,709.60"
543,"11,935.90"
547,"12,362.70"
551,"10,361.40"
552,"11,665.10"
554,"11,485.80"
560,"13,173.20"
561,"10,713.00"
566,"11,394.70"
568,"10,174.30"
572,"12,223.90"
579,"12,170.60"
580,"12,966.70"
582,"11,404.70"
583,"13,263.00"
591,"12,298.60"
595,"11,427.50"
598,"11,360.90"
602,"11,741.10"
605,"15,715.70"
609,"4,832.90"
613,"7,074.40"
614,"6,514.10"
616,"9,030.40"
622,"8,166.10"
623,"8,236.50"
625,"8,541.90"
633,"8,743.10"
634,"8,996.90"
643,"7,870.90"
645,"8,449.40"
647,"10,052.70"
649,"8,490.50"
654,"9,432.30"
656,"9,882.20"
668,"9,816.10"
670,"8,831.30"
671,"8,372.00"
675,"8,530.80"
677,"7,623.60"
679,"8,967.40"
680,"9,818.00"
683,"10,057.40"
687,"9,685.50"
694,"7,169.60"
697,"7,617.30"
699,"8,682.70"
701,"8,739.00"
704,"8,552.20"
709,"9,682.20"
712,"9,647.00"
714,"8,540.10"
715,"9,125.30"
717,"10,741.40"
722,"9,690.30"
725,"9,530.20"
727,"8,262.20"
730,"9,547.90"
731,"9,798.20"
735,"9,290.50"
739,"10,108.70"
742,"7,935.20"
744,"7,918.80"
750,"8,893.90"
757,"10,563.00"
762,"8,779.00"
765,"7,662.00"
772,"11,059.30"
776,"10,703.40"
778,"8,569.50"
782,"7,464.20"
785,"8,155.80"
787,"9,047.50"
788,"8,505.00"
789,"10,119.00"
791,"9,686.10"
794,"9,921.90"
798,"10,800.10"
801,"8,890.10"
805,"10,647.40"
807,"9,909.70"
811,"7,950.10"
815,"10,642.70"
818,"9,797.70"
819,"8,797.50"
821,"9,793.60"
827,"9,464.90"
830,"9,613.10"
831,"9,749.90"
834,"10,122.50"
838,"8,279.40"
844,"8,364.60"
846,"10,603.30"
848,"8,414.40"
861,"10,254.70"
862,"10,684.20"
868,"9,418.70"
872,"9,514.50"
876,"9,624.70"
877,"9,666.50"
880,"8,615.70"
882,"8,983.00"
886,"8,979.70"
889,"10,656.80"
897,"8,420.60"
899,"10,363.30"
907,"9,867.70"
914,"10,139.90"
915,"10,578.80"
918,"10,476.00"
928,"8,875.00"
929,"8,826.60"
931,"7,732.80"
933,"10,348.30"
935,"10,045.80"
937,"10,147.60"
940,"10,758.20"
943,"11,043.80"
948,"12,115.30"
955,"10,891.40"
960,"11,249.70"
963,"10,601.10"
965,"11,036.90"
967,"10,971.30"
969,"10,177.90"
974,"9,737.60"
979,"10,006.30"
986,"10,172.40"
989,"9,309.70"
993,"8,191.80"
994,"10,877.50"
995,"10,863.90"
996,"11,758.30"
997,"8,857.90"
1002,"10,814.50"
1004,"10,311.70"
1008,"11,184.70"
1011,"10,924.10"
1020,"11,082.40"
1021,"8,914.10"
1025,"11,558.70"
1027,"10,043.80"
1028,"9,947.30"
1032,"11,451.00"
1047,"9,221.30"
1050,"5,291.70"
1053,"5,911.80"
1054,"5,110.20"
1059,"5,772.30"
1060,"6,708.10"
1070,"5,392.90"
1077,"7,894.10"
1078,"6,731.50"
1091,"7,090.60"
1093,"7,105.10"
1103,"7,624.00"
1106,"7,220.90"
1111,"6,999.40"
1113,"7,065.20"
1119,"6,953.60"
1121,"7,553.30"
1122,"7,895.90"
1127,"6,398.70"
1128,"7,131.00"
1131,"6,727.10"
1132,"6,630.90"
1140,"7,803.80"
1142,"5,958.30"
1143,"6,884.00"
1144,"7,272.50"
1145,"7,607.10"
1149,"8,777.30"
1151,"7,778.00"
1154,"6,198.60"
1158,"7,281.00"
1167,"7,821.60"
1169,"7,317.50"
1172,"7,500.70"
1173,"6,674.30"
1174,"6,018.50"
1178,"7,642.50"
1180,"7,091.30"
1191,"6,790.50"
1192,"7,229.10"
1197,"6,438.70"
1198,"6,836.80"
1199,"6,060.00"
1201,"8,019.90"
1208,"8,954.80"
1215,"8,058.10"
1218,"5,862.30"
1222,"7,351.40"
1223,"9,331.60"
1228,"7,903.90"
1229,"8,020.90"
1236,"8,257.00"
1237,"7,450.50"
1239,"8,799.80"
1248,"8,813.70"
1250,"8,239.50"
1256,"7,088.40"
1260,"6,216.00"
1263,"6,539.90"
1264,"7,182.60"
1276,"7,804.00"
1278,"7,908.80"
1282,"7,485.10"
1287,"6,452.40"
1288,"8,328.90"
1290,"8,591.60"
1292,"7,865.20"
1300,"8,114.70"
1302,"7,185.50"
1303,"7,848.90"
1305,"7,777.30"
1307,"7,534.80"
1319,"8,586.60"
1322,"8,202.50"
1326,"9,604.70"
1327,"9,377.10"
1329,"8,649.60"
1330,"8,532.40"
1332,"6,362.60"
1342,"7,670.80"
1344,"8,213.20"
1345,"7,595.60"
1346,"7,345.20"
1347,"8,157.40"
1349,"8,972.90"
1351,"8,482.00"
1354,"8,552.60"
1359,"9,306.10"
1360,"9,030.20"
1362,"9,049.30"
1366,"8,175.10"
1371,"7,600.90"
1372,"7,452.20"
1378,"7,519.20"
1381,"8,576.20"
1387,"8,390.50"
1394,"9,039.10"
1396,"9,013.20"
1398,"7,366.10"
1399,"7,136.80"
1406,"7,465.80"
1407,"9,121.90"
1411,"8,777.40"
1412,"7,670.70"
1414,"9,769.50"
1417,"6,587.50"
1419,"9,480.20"
1423,"8,869.90"
1433,"8,971.20"
1435,"8,080.60"
1436,"8,265.00"
1437,"7,296.20"
1439,"8,216.40"
